,Please Please Me (Remastered),With The Beatles (Remastered),A Hard Day's Night (Remastered),Beatles For Sale (Remastered),Help! (Remastered),Rubber Soul (Remastered),Revolver (Remastered),Sgt. Pepper's Lonely Hearts Club Band (Remastered),Magical Mystery Tour (Remastered),The Beatles (Remastered),Yellow Submarine (Remastered),Abbey Road (Remastered),Let It Be (Remastered)
Track number,0.13355774814949203,-0.4690640412732524,-0.672841956024385,-0.3789421799840826,-0.18892547655844533,-0.31973177879836173,-0.3837542329101046,-0.39942782420706313,0.587095265748098,-0.12984978589411073,-0.6441537323785496,-0.6475276067711766,0.05627896797325157
Acousticness,-0.42837874509051044,0.15586364193285898,0.06540589596730878,0.25567604005572137,0.39729809406013356,0.58278862213807,0.6426001856981216,0.19365433758657122,0.11276963824320899,-0.09971802535126548,-0.6774292075611142,-0.517940736286047,0.40317798004807176
Danceability,-0.0951517016718181,-0.015423269841329705,0.23173117024693618,0.23456745320368377,-0.421769642232663,0.12935307313929906,0.1872396451931244,-0.150191711990658,-0.07968320591444682,0.2485163030739782,0.6253972697072224,-0.32608641152520473,-0.30701080663528874
Energy,0.4996789833936802,-0.6831957675716862,-0.4529534199188539,-0.2606078109439304,-0.4165634911376062,-0.6223333899399147,-0.7375670660462397,-0.4514336946503495,0.20075715287882676,0.0756114477707622,0.606421079366145,0.12992013047691336,-0.47569057990760716
Instrumentalness,-0.14873172882674357,-0.34961969402925297,-0.22071738786190973,-0.024453292744414268,-0.2843414863330373,0.43875435506494326,-0.44965413499846624,-0.3221121727560565,-0.38356085480800467,-0.17756583855387076,-0.41508148661691285,-0.06601694468832095,-0.1934629619628924
Liveness,-0.2353674508308267,-0.14438204614722133,-0.5832481337226322,-0.11844174969516291,-0.27697424596491266,0.46486002463850296,-0.07318890707161799,-0.0683831978444487,0.2833245370793191,-0.24106368640271414,0.007565300852999495,-0.037049632129607483,-0.303807130778146
Loudness,0.44531864045742925,-0.41223508484685206,-0.4713768652029481,-0.11071110841908147,-0.4134394747187247,-0.4604877387993689,-0.39417359271034474,-0.4832506776652874,0.3534515869587858,0.21716211074474573,0.7304669763269576,0.6190575128303796,0.1264438170618163
Speechiness,0.4735854841644082,-0.08899439341941401,0.07363285438602735,0.029473299306694036,-0.022067718600256594,-0.30657758525725476,-0.09968721148359909,-0.2474720877674841,0.4095630379453697,-0.2209757784261867,-0.04279594988501942,-0.36068603966133916,-0.5641495687672613
Tempo,0.26565862537105195,-0.1435403887791262,0.17010916689751454,0.16603417416333593,0.11126716209659994,0.05977296877940051,-0.08631027992642962,-0.07893973908131839,-0.2508690792168796,0.05450219841834913,0.06994514433791935,0.2700607440828373,0.07683689829559041
Valence,0.2579665157158771,-0.23055481074200726,-0.15398590696710662,-0.29997523383247837,-0.6254148610653837,-0.45443767436754595,0.10515285544815364,-0.29983583096902106,0.3942646702401348,0.15449529926588795,0.8137339114685039,-0.20674496061990644,-0.41257853082177154
Duration (ms),0.39065402980419406,0.051639993153027745,0.35404532827745566,-0.24449946834003422,-0.24235327877112606,-0.18536666040695057,-0.3181247534555705,0.25171654305141566,0.5878284039403919,-0.090779043830964,0.09412910076677566,0.4400225059106895,0.6616085310729535
