,+,No.5 Collaborations Project,Loose Change,Live at the Bedford,x (Deluxe Edition),5,x (Wembley Edition),÷ (Deluxe),No.6 Collaborations Project,=,2step (The Remixes),= (Tour Edition),- (Deluxe),Autumn Variations,Autumn Variations (Fan Living Room Sessions)
Track number,-0.1748060686064487,-0.5052248022814557,-0.5178140879807364,0.5252736513086526,-0.5595429337424934,-0.2495899547496424,-0.19310497903879825,-0.47177748754255616,-0.7865556356607181,-0.5452173918390093,-0.526914863070944,0.3672422232872427,-0.6966438306615557,-0.5292794289615074,-0.3736701441630432
Acousticness,0.04607611206606215,0.6864854731507027,0.5952554603472778,0.18398381891745424,-0.12250400360156295,0.4857573940615568,0.07104362288762352,-0.11664018883933587,-0.2013215180673713,-0.21531659207195025,-0.26850778730264746,0.08298259307187786,-0.536789269193055,0.2065029054551509,-0.4792755648771529
Danceability,-0.12383504402474277,-0.37809658736434865,0.12321652897185842,-0.19392504318457765,0.09550621460091906,-0.03487879485889809,-0.04128502505312426,-0.15812350690193705,0.38909742259256824,0.38764793792691454,-0.1162082579091551,-0.15592152288436947,0.1008061396804466,0.11270550015886671,0.30796016355948863
Energy,0.2095531137067583,-0.40719032023106544,-0.26586479399645535,-0.34587245836704356,0.208686970269859,-0.4934024629038429,0.011256103411268448,-0.03586073287018429,-0.057064778092429005,0.4799749261540716,-0.44458457119657196,-0.08201546758967436,0.22355117983552755,0.06701936548102619,0.5784818280217333
Instrumentalness,0.08091732291653116,-0.39198514028242587,-0.6518944045224356,-0.2674562519653044,0.2756201451603727,-0.18499489912023684,0.1508891037989291,0.25414701523928324,-0.12634865259314146,-0.3328227167405441,-0.34336622892150187,-0.26299906092444525,-0.0962442745240975,-0.2647585156448157,0.10342014416571044
Liveness,0.22028333655829677,0.07229527573000413,-0.13590455537787946,0.5251523962824395,-0.10793515346828951,-0.35144672990871567,-0.1984918179349894,0.03625960920448273,0.15161958918204152,0.24892170976322744,-0.4943692577067678,0.3637163319378222,0.21791457643960155,0.22618748893600005,0.37420581621805543
Loudness,0.15147666632766213,0.11194042163998673,-0.04761013042067174,-0.357059129426214,0.24407402631972047,-0.15594813824849396,0.15071006642014714,0.021215436254665897,-0.31047952624086933,0.5362516703096666,-0.7491985175680715,-0.01723601676588986,0.04551772197829856,0.16728904964154326,-0.16372187203333985
Speechiness,-0.13660465732134863,0.07539466016309573,-0.3166566758569092,0.7667518847200989,-0.1139387603448136,-0.3439681988768607,-0.2067787986528471,-0.17481020918877202,-0.34955113096734775,0.1193276895468633,0.08568435440448696,-0.2435194080941742,0.8752189207200148,-0.1176127533433532,0.1379155521596656
Tempo,0.30245682593031314,-0.7954342206257877,0.016327898622123443,0.11354421545046049,0.26828585341563765,0.09301620950072499,0.22034978814635833,-0.004242748419834339,-0.11058249579254856,0.3985587898264753,-0.34498831776573613,0.28444720559854136,0.07941942248015366,-0.1815726731802828,0.22058629703961344
Valence,-0.2816802931487914,0.1729302485335503,-0.26030818907796077,-0.4165663880944907,0.09758951047402058,-0.18677160561629955,0.0004565887780065489,-0.24380149228355052,0.08364483912316754,0.2814494736838177,-0.0663099723957903,-0.42149181957761883,-0.1529128776489264,-0.051468245456599414,0.18618488079131226
Duration (ms),0.40269714235058335,0.23295859065882193,-0.47476965311808517,0.5479782834309883,-0.12256543895782307,-0.24008370542389565,0.050865119265897686,0.16513706445971238,0.24097661272441556,0.047107015138630005,-0.19524810560314865,0.09742375736415228,-0.015969797397819837,-0.36827289138990116,0.24388230492141624
