,Empty Sky,Live at the Fillmore West 12th Nov 1970,Elton John,Tumbleweed Connection,17-11-70,Madman Across The Water,Honky Chateau,Don't Shoot Me I'm Only The Piano Player,Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe),Goodbye Yellow Brick Road (Remastered),Caribou,Captain Fantastic And The Brown Dirt Cowboy (Deluxe Edition),Captain Fantastic And The Brown Dirt Cowboy,Rock Of The Westies,Blue Moves,Here And There,A Single Man,Victim Of Love,21 At 33,The Fox,Jump Up!,Too Low For Zero,Breaking Hearts,Ice On Fire,Leather Jackets,Reg Strikes Back,The Complete Thom Bell Sessions,Sleeping With The Past (Remastered with bonus tracks),The One,Rare Masters,Duets,Made In England,The Big Picture,Live In Australia (Remastered 1998),The Road To El Dorado (Original Motion Picture Soundtrack),One Night Only,Songs From The West Coast (Expanded Edition),Songs From The West Coast,Peachtree Road,Peachtree Road (Expanded Edition),The Captain and The Kid,Elton 60 - Live At Madison Square Garden,The Circle Of Life / Bach Improvisations On Themes By Elton John,The Union,The Union (Deluxe),The Diving Board,The Diving Board (Deluxe Version),Wonderful Crazy Night (Deluxe),Rocketman (Music From The Motion Picture),Me - Elton John Official Autobiography (Unabridged),Ik (Onverkort),Live From Moscow (Live From Moscow / 1979),Jewel Box,The Lockdown Sessions (Christmas Edition),The Lockdown Sessions,Madman Across The Water (Deluxe Edition),Regimental Sgt. Zippo
Track number,-0.20413622465586914,-0.9116729353137596,-0.42164125921122475,-0.10491638161541894,-0.15875015875023796,-0.8009379214405784,-0.35028042283627064,-0.14072137274084212,0.22706741115525433,-0.5187106295386803,0.10437979097926427,0.09638478844507321,0.12425707119958371,0.03032854853977879,-0.2854900216704669,0.1490781114462692,-0.16932913204028555,0.09148736449139473,-0.4342130771160882,0.1751622624363427,0.2544861222140406,-0.5821170911596283,0.14872954445209005,-0.28197936398495066,-0.10673169544567083,-0.3446155300688416,0.38998628767025273,-0.21527284442964895,-0.48758653402874047,0.06537794419635307,-0.2716470474703716,-0.16799535656943732,-0.16480780196627304,0.09134658272046436,-0.7982022641882223,0.057790297698293636,0.1989871165964061,0.4372560635439017,-0.1862343078989647,-0.048828231437213494,0.02923308721242439,0.29628598158522046,-0.2159482165160303,-0.2767491531163543,-0.0210422770158268,-0.6057454852947648,-0.5931598526766411,-0.6691134593271463,0.2980633227332501,-0.5217547701288711,-0.24253562503633316,-0.7026597510635887,-0.3230522981597959,-0.3073328984752485,-0.3751029205695595,-0.266987506213155,-0.9214031648131044
Acousticness,0.07995680287735936,0.9250822492818573,0.09008631802702967,-0.1823083599896402,0.2802464190964116,-0.20853927829687177,0.6984619913970165,0.26700357651236484,-0.18145120808217666,0.04995428017836558,-0.27489294981662615,-0.26400949323570033,-0.12911251370227383,-0.278826760766563,0.31729749698416715,0.1402410427199718,-0.33730095738366944,0.01013265138217365,0.1771195047193025,0.2705003585669364,0.4755050796035257,-0.06957461815977292,0.16528287591006316,0.026196200313023298,-0.07457896949760365,-0.24997417520183057,-0.6200521842254646,-0.20895830638168614,0.3371053888747487,0.12349418898703654,0.07998111074478115,-0.1082645445951024,-0.05195220027752667,0.5928527134095887,-0.4877208729545963,0.013145738663737536,0.06224434582547181,0.21640864173163699,0.04839233868226622,-0.6776357382606942,0.03614592203260293,0.7223572193844818,-0.009635057532644037,0.10292010460178065,0.03169208245810626,-0.024384592914210725,0.08243788370464872,-0.18066821503206698,-0.13252348299012312,0.5030907786275485,0.025017046920009976,0.6001495619066163,-0.19691637834024076,0.11604635374398733,-0.036606826938567184,-0.3747094018904478,-0.37324975346083117
Danceability,-0.18827212602392174,0.4667509067206493,-0.1340587816180443,-0.27281718858264914,0.13508901707470533,-0.017997709911879926,-0.06494325782796548,0.29848972926735634,0.2859402047999992,0.1781708727566185,-0.1508416468508002,0.35785851801235696,-0.10283999339553786,0.3568860496464052,-0.2495839003434531,-0.1310475451168143,-0.18027726907236272,0.15798903270373024,-0.13892066630848793,-0.1746947541276471,-0.30972650448136024,0.18742232696485883,0.09746038418780939,-0.06379756123162555,0.005793012345237299,-0.03708667431502983,0.0013677652980787793,0.2425758708574305,-0.5673677551012134,-0.33292109414009946,0.2529473194739294,0.2252235941206909,-0.24409703913550124,-0.10432938706256421,0.32320312496542997,0.025602268207431833,-0.6099190994110189,-0.8112166487872289,0.029873533158420538,-0.173478641433684,-0.023787186416630208,0.31703340467609037,-0.03628080546093371,-0.0852007542378309,-0.08434953478493132,0.4027251175059631,0.1915429488165273,0.1659296321649585,-0.2296317679128112,0.03301476759963396,0.004747478459146491,0.43545717152237373,0.043626326671874105,0.04581617495652493,0.14859951434991409,-0.2993618863619788,0.005887741401315034
Energy,-0.24292207010399441,-0.6678374571208979,-0.12397230372460101,0.08389738381818604,0.2782617463647938,0.01115632389029567,-0.5466461882283057,-0.2296473246597109,0.08582216048647838,-0.08344185579609546,0.22965026614554118,-0.4329046361036087,0.09330553407824914,0.27678554745171724,-0.23411405004435254,-0.07195878740370418,-0.15275740731413548,0.06380944867063333,0.006562897868374149,-0.23037809433686496,-0.6985899486181304,0.3857995396086562,-0.05922309532396907,-0.021023167746393307,0.07939533099926584,0.1821063837829085,0.18426139815321993,-0.23610922398691242,-0.28097645608864125,-0.21951912834860063,-0.017237689578129715,0.02214845230867945,-0.19888903321220566,-0.3780944394209782,0.4489156786709176,-0.034452811090255164,-0.3664455990136841,-0.3261115905864444,0.007235113591185851,0.27681194104944706,-0.0755990676059552,-0.846664995253103,-0.09301867531336648,-0.038463374333094574,-0.07694021028149212,-0.09490088310404955,-0.06285117706216772,0.11168380254276487,0.1917398779660289,-0.21980768677394333,0.20922812895543155,-0.5912815662504319,0.17216303718802492,-0.0816853938946419,0.05746638126352125,0.21437694627169962,0.08022893663611655
Instrumentalness,0.22776930689077116,-0.3419494665879704,-0.1320297252165464,0.214130817116858,-0.4199621806365229,-0.17695076918029157,-0.06264459740346505,-0.04586898385168855,0.07387580776088933,0.2593485526373124,-0.22382754695236243,-0.29345566548161833,-0.21618536487386916,0.014747683944809407,-0.09610906187264419,0.04970240009395587,-0.16837215385186946,-0.19897247126421758,-0.1841159171041586,0.3678287800896983,-0.24892688564834456,-0.0707391491168966,-0.00012516418144860046,-0.20760372234416302,-0.05884200114953033,0.2762836787410013,-0.4065514730785307,-0.29298290000094723,-0.1796728068390827,-0.017220766603790405,0.001928638568090007,0.20832888528431276,-0.1834796806420109,-0.08155741569925418,-0.4386386741864827,0.0752947629278042,-0.1381754021894266,-0.14960792704957224,-0.07675598358243194,-0.23053082089249438,0.024551022843862343,-0.1862157269255701,0.016127941569675952,-0.10690238470442329,0.10418889589954461,0.056795556048741244,-0.17225921797123575,0.16635211008320402,-0.31759263903314555,,-0.07455364822999035,-0.2441113458415675,-0.20664968636178763,-0.022800271396364206,-0.028998004582903275,-0.2581703983349179,0.07947780736615494
Liveness,-0.14749126739554771,-0.6189509708947417,-0.05174182939981215,0.005141362546509796,0.5878548476852411,0.3723783844849643,-0.1396479233341653,-0.299224850216011,-0.2411092273849567,-0.016630225138141098,0.1691325259068611,-0.13913548452307706,-0.04571292410407322,-0.03122462983705204,-0.00546729194762904,0.03138243094493916,-0.2124573093482756,-0.053653398269974215,-0.25383817223577093,-0.17264646628072272,0.5492616417389089,-0.18516745769527468,0.2510501746659366,-0.13794241244582095,-0.061610378255976414,-0.2684653516420404,0.6507299426717317,-0.4845066086639769,-0.29375784199816,0.0404596181978822,-0.3692225272247891,0.18058125317081414,-0.13740210784011733,-0.0660459075389384,-0.3892022093717241,-0.02705887693693505,0.28049049504054396,0.4572071100472899,0.12797120493994316,0.1488163043711488,-0.0010590669156701554,-0.582066668498933,-0.09625620496474618,0.11503035092544842,0.0023001775509154483,0.18546411395209353,-0.5392253101899819,-0.1766649709104079,-0.2855535589608493,0.04474559824538015,-0.03812270900081238,0.13938283902480011,-0.21197792226967505,-0.17858641891166266,-0.0706808687735038,-0.03135732683396319,0.0022712038609207313
Loudness,0.25635050744408433,0.153779963756726,-0.10572389898343713,-0.26195219385616275,0.19201545256275368,0.40394407110810454,-0.37128703563020454,-0.22538830160825787,0.24107676610958723,0.09889317617798,0.3907382795972586,-0.38047990774638357,0.4428198813498448,0.16195561462660446,-0.14327491432167594,0.12176903732516282,0.04257263737394701,0.4254860707379065,-0.11690984174638995,-0.2173757719519212,-0.8231329722555931,0.5686376394313551,0.06881913889670455,0.13919798706002687,0.11232740680623722,-0.15290305667267376,0.5360615833203749,-0.2540363922966769,-0.06666970975618289,-0.1737904588376389,-0.11702824042879875,-0.007313159559940504,-0.19824418754651968,-0.48595675022403284,0.46006894262414805,-0.046348490371228145,0.06639990888774282,0.374215546433295,-0.0693577898470802,0.5295251192185274,-0.10474993462431026,-0.8168139206641987,-0.09927135979686248,0.09269045694197067,0.08086428283219022,-0.06442039818743868,0.2713064429939849,0.38312672321047486,0.22106115008459704,-0.191224422398156,0.37742792232001277,-0.2142164361804962,0.08722983618208606,-0.13563477233451235,-0.06554901279219986,-0.04208151171100502,0.19423398486178947
Speechiness,-0.2676432990952944,-0.32529949076379866,0.07123283290584317,-0.07468489970897993,0.016703697138884817,-0.14093342499163647,-0.270286851057888,-0.35358824831507385,-0.10610243539137412,-0.15800331725911632,0.3115387893408548,-0.3572031238960029,-0.19273615817924253,-0.17208824657986732,-0.11578577197453561,0.001715790940920613,-0.11291590450360753,0.16602403032236826,-0.18956440360363996,0.431771533992016,-0.4197329842774572,0.7208544683233651,-0.04965223527375279,-0.21665602992665853,-0.18905520920772473,-0.24107409462109558,-0.3908090667687064,-0.2916665639307966,0.04683806745953197,-0.07341574362084949,-0.11538217746711053,0.28516400061329034,-0.2603204411314611,-0.2981161415962156,-0.08104884302841797,-0.011638991475828682,-0.09221356080552774,0.019737367327439123,0.05329736056766256,-0.08386707086778078,0.03803569806011346,-0.26457678989220224,0.07871649874587394,-0.0925903644307076,-0.1943478986235892,0.0804987201558762,-0.46598927441339427,-0.15844101483467454,0.2090370821859381,-0.07971037645079061,-0.04805436123055861,-0.4819195765174108,0.11446887978881448,-0.2025779710425832,0.09692274239217569,-0.2039487031431063,0.5828610249661166
Tempo,0.37400745530944285,0.29057384477167914,-0.016969193442660666,0.24349177787782306,0.20494458392811352,0.16728573639305006,0.5020072091779557,0.2776721931174988,0.031054596732230707,0.14627529690235813,0.3444009456020159,-0.022326468330896382,0.08824023805859467,0.192458392731575,0.03670114971497368,0.1467716566469856,0.07666562409848451,-0.22364607863277886,0.3398089299043771,0.11283323499677946,-0.5646919071702827,0.3707153414229577,-0.248856683604853,-0.38589250683805665,0.041858843234052215,0.3719157535885939,-0.44096921689508567,-0.47891513628940935,-0.2979532122164818,-0.012209115372398771,-0.03703499985183236,0.1568741760373262,0.17287324270239396,-0.10093870055845099,0.1423844257650215,-0.008792588872175076,0.4754277043358735,0.5499074738965597,-0.05436104721832071,-0.36642845824851156,-0.14606795217939267,-0.05049527996893601,0.13113287435578697,0.2099827596348712,0.07233927704969079,-0.21972719798313042,0.15941540692367925,0.07860691956167148,0.3030279062087876,-0.08369163410501257,0.15053595577911869,0.02808329008616357,-0.06183370299846214,-0.14193030939764,-0.017268196505835207,0.1238105475886478,0.4386870299935924
Valence,-0.22263440041032923,-0.7149583038059332,-0.1416683344728064,0.011394786773396328,0.3860461159926911,-0.25361289826988304,-0.5388531340742727,0.021808181460125534,-0.021825916570736695,-0.04075435807771237,-0.1484977925869707,0.04993183862330875,-0.11264505919282912,0.2190891011490909,-0.2355754494369871,-0.24358361413902196,-0.13647835903263186,-0.09899147178874182,0.0887915200367961,-0.20345152938731353,-0.6406314064754106,0.20320949101430552,0.09920412057570274,-0.03403076615339917,0.08546498405854153,0.13965166280872365,-0.03655013826881297,-0.1680276964994462,-0.3701807088371031,-0.34649135061741604,-0.03118673088657914,-0.0391656049896399,0.130578098701417,-0.3417849810434215,-0.1000127535030089,-0.026463738509073867,-0.5345426613591702,-0.5995804379160127,-0.03184577015827486,-0.13193302353565367,-0.0911837413641796,-0.2481300268193061,-0.12663587004484878,-0.21792929178770065,-0.20075830046665047,-0.14501368968317113,-0.06829461649523537,-0.15371803172237333,-0.07045535408782791,0.16186979414249555,-0.1950329935336222,-0.24366517180824823,0.15457023649691706,0.012433020602193392,0.11808389296901886,-0.19168173918340772,0.25449677264331283
