,Kill 'Em All (Remastered),Kill 'Em All (Deluxe / Remastered),Kill 'Em All (Deluxe Remaster),Ride The Lightning (Deluxe / Remastered),Ride The Lightning (Remastered),Ride The Lightning (Deluxe Remaster),Master Of Puppets (Deluxe Box Set / Remastered),Master of Puppets (Remastered Deluxe Box Set),Master Of Puppets (Remastered),Master of Puppets (Remastered),…And Justice for All (Remastered Deluxe Box Set),...And Justice For All,…And Justice for All (Remastered),...And Justice for All (Remastered Deluxe Box Set),...And Justice for All (Remastered),Metallica (Remastered Deluxe Box Set),Metallica,Metallica (Remastered),Live Sh*t: Binge & Purge (Live In Mexico City),Live S**t: Binge & Purge,Load,Reload,Garage Inc.,"Garage, Inc.",S&M,St. Anger,Some Kind Of Monster,Some Kind Of Monster (Live),Death Magnetic,Six Feet Down Under,Six Feet Down Under Part 2,Lulu,Metallica Through The Never (Music from the Motion Picture),Metallica Through The Never (Music From The Motion Picture),Hardwired…To Self-Destruct (Deluxe),Hardwired…To Self-Destruct,ライヴ・イン・テキサス1989 (Live at リユニオン・アリーナ、ダラス、1989),Helping Hands…Live & Acoustic At The Masonic,Helping Hands...Live & Acoustic at The Masonic,Live In Chile (1993 – 2017),Live In Argentina (1993 – 2017),Live In Brazil (1993 – 2017),S&M2,Metallica (Remastered 2021),The Metallica Blacklist
Track number,0.041148911372061205,-0.1076277760004108,-0.002465498046107215,-0.2729100026421414,-0.39676351817590566,-0.20441175249321603,-0.3192631915276372,-0.35314849458454417,-0.7087447421053413,-0.8728715609439696,-0.27182771548803036,-0.5453428682312036,-0.7017695268034939,-0.35952328368770886,-0.44146233324529077,-0.3173465654530757,-0.6573488496980315,-0.717276211996989,-0.7020748528937876,-0.8197913961183593,-0.3358160656469331,-0.7417812942326539,-0.23918288070327576,-0.4648837676775056,-0.5247523456062494,-0.696215113199005,-0.18562867318184048,-0.20740410577134807,-0.17788667122433366,-0.4542567625794979,0.029424494316825138,-0.6980327684849882,-0.37060078793751056,-0.33454649412687226,-0.5016198453912428,0.005621997644739441,-0.5359279932098439,-0.5016209515303152,-0.6340351182028134,-0.16228767452177542,0.050712069372723684,-0.024106130715563934,0.16728067983234277,-0.9123202410538083,-0.07733866060028868
Acousticness,0.7090428020074732,-0.0352062693001188,-0.20766371339556025,-0.27171952498579516,-0.16536662681828995,-0.30132895069225824,-0.37666357985998006,-0.40253058540406916,0.06970857767189552,0.008974116833815876,-0.4514085404242097,0.33062947590609904,0.006509930930306023,-0.3954890344919019,-0.3579188686824966,-0.31190362145608896,0.5389854419921184,0.42282091723340115,-0.23605509761956475,-0.23691716399958687,0.2889747977296342,0.01709906377930028,0.12604257675700783,0.19717930015617838,0.027191622354706273,-0.06801992028052412,0.16156047418000372,0.08232312281204957,0.36095781123081333,0.44978433132940776,-0.14481002263205564,-0.3579455346547672,0.05827071076055653,0.04985227340315251,0.11313808503794004,0.002693791638153046,-0.12265753558440579,0.0872064442083702,0.17266226720590971,-0.028690727157577485,0.09363179831490476,0.6365511933243727,-0.4957867113787309,0.07866933205040696,-0.023334709882205498
Danceability,0.8150730628572983,0.17241981959029906,0.2768063783806149,0.25315217420413855,0.5438378729777832,0.35434092971263514,0.13137742018664453,0.0757703270311502,0.48155418282817747,0.32949155147039705,-0.030526920506063458,0.011839406526364976,-0.11376392303190606,0.14128337708694558,-0.060778117505754334,0.47290893236120407,0.2868248233034998,0.34156321903554854,-0.019198282507095633,-0.10151324253321663,-0.18978153459745048,0.04343956485740275,0.2653799433704271,0.17846573018088974,-0.22182795481989126,-0.44532806601636704,0.5882591357806449,0.33102456297688043,0.002614272991591751,-0.19430476657603693,-0.8920173146301353,-0.17757254403489847,0.13917944219960188,0.07684883472482366,0.0704536484427342,-0.4374458465497918,-0.11505837826543634,-0.4623826482923291,-0.5500312476935018,-0.4155527029707199,-0.21730041447514462,-0.5201476468609852,-0.5722645977824827,0.2863500275505951,0.20001355851365982
Energy,0.10199415112273623,0.04603261097061406,0.1184181011113476,0.15777827136998077,-0.3703292731109183,0.27086957863167666,0.28287173533217624,0.33758932355383914,0.26570327497482626,0.22385720387264474,0.39676026594802255,-0.352285911967868,-0.4364174955512946,0.28318540267417874,-0.11534583846579212,0.3405051543945547,-0.6298692764859247,-0.5338397312928099,0.03143148259134536,0.20393983205555696,-0.21597953417222185,0.018104278661729315,-0.20224350896333657,-0.21979422642955282,-0.1536636205588541,-0.111013288175367,-0.8509583354646915,-0.8386353499069106,-0.3644096179493623,-0.39327535136980946,0.11922084657057742,0.3027022725498037,0.012618654481020538,-0.05613571466193346,-0.12455163997965059,0.45301847811399204,0.16044800791648126,-0.20225572221636057,-0.07785780580330907,0.19423490944007313,0.036342093490428204,-0.4071308693156846,0.39498306397329697,-0.1831119866732764,0.02840425849665017
Instrumentalness,-0.23328578984729537,-0.26872569928898044,-0.24401137730323172,-0.3944169464534151,-0.3902123098389178,-0.4289432597793843,-0.2540268007074844,-0.2772899024749762,-0.09267395704754998,-0.42028487671130454,-0.6764600575037577,-0.2268468530936491,-0.20274292555384418,-0.6128790338384885,-0.09569945004782979,-0.634899084084574,-0.3638383348522525,-0.3693206171187734,0.15612505875881472,0.19054715471737046,-0.20494974071169414,-0.16486475637129913,-0.2753553187830594,-0.2372094157024324,0.006605489658494312,0.07143876126878036,0.11455341161387021,0.29411711016413516,-0.20114519996369418,-0.2244171161721919,0.6758464201940994,-0.06454542373371767,0.2362089244308455,0.0351528944409407,-0.057945147112989065,0.096508115687459,-0.25677394006783244,-0.5678034650209008,-0.5934501349873006,-0.12783122648663056,-0.2192169204081543,0.7103587204850663,-0.11932347048936745,-0.08935645349001271,-0.19986039463779987
Liveness,-0.42145422547992334,-0.4881689971657813,-0.5410790751049898,-0.4617687005781523,-0.3414890426300138,-0.4552053084502381,-0.20093722519308668,-0.14230200273388682,0.021050816594324374,-0.2786239234358442,0.13244491231691036,0.0742707577126008,0.6641634788768951,-0.05964014472807561,0.25233766854070366,-0.07188234923684825,-0.26373476994179257,-0.3084402928204012,0.33887594401647986,0.2731062469230054,0.00040755254631594955,-0.21747057904117292,0.048048407994868474,0.15215713339813103,0.050558870128744444,-0.40383645624827064,-0.8267693720751251,-0.835784657759086,-0.08020779329924452,0.31098901292373193,0.33001091573340646,-0.12131520800931435,-0.15925927901646358,-0.02237557465115092,-0.4992569461386776,0.27917808224374646,-0.33554374079553917,-0.26231914395021827,-8.714702208195908e-05,0.34557886152190964,-0.027524242902731103,-0.1210245298904539,0.1488971467559647,-0.5288253621900102,0.23999050802406077
Loudness,0.02529403861614914,0.2357059500383564,0.29980061133796726,0.48916935234083686,0.07203936847997762,0.4943468737996498,0.32038135294068965,0.3682365234567964,0.2510785920578235,0.27406752595357714,0.6372923350451177,-0.0842112983998119,-0.34804589366622535,0.49790275531658396,0.18033208643272283,0.5673261550529625,-0.6699866689336577,-0.6467610389349069,0.31045200350209784,0.33757012601754904,-0.24312769568418702,0.2962193291437062,0.15581012888022563,0.04803991369610925,-0.17086033311958015,0.47273481195864253,-0.804537789888395,-0.839094111612903,-0.2609572655171191,-0.6430283813588004,0.2781201790286237,0.46843741832696345,-0.27069354672435914,-0.08361395296484876,0.28873369690687706,0.40479112734900646,0.04248146219402695,0.008427557433297787,0.13580682145468242,0.07523133942058469,0.26904269491318117,-0.5408369404613935,0.47311032356566585,-0.21707898222368865,0.13325672941462743
Speechiness,0.18988673325996608,0.2786728261156103,0.1575235990174636,0.018137182572473706,-0.19090573361635682,0.05680126407340409,-0.14377286555932978,-0.13357778432187575,-0.39215881818976805,-0.5747236338916742,0.3991099117847008,0.18898412632770772,0.40387116414427976,0.1738118507201078,0.45032189547516677,-0.16075620082004122,-0.8170075853575667,-0.6790332877130385,-0.35314329453531185,-0.14313469883086122,-0.26719468042275174,0.01896414149160953,-0.41507862883092006,-0.36397815914325576,-0.02959799513189989,-0.40200717443721956,-0.4809339178587047,-0.45308260801514527,-0.31676522325803347,-0.3688285389531218,-0.35807397453853373,-0.08700391363408903,0.12375232876102664,0.05332410053564041,-0.5506127552617921,0.32393662812541957,-0.3758964478491316,0.11406237750123106,0.1382747349630794,0.22781018894616042,0.17985646086387683,0.019245394160762673,-0.4709552110854874,-0.5192846722557958,-0.17909176586251674
Tempo,0.21166543405009558,0.17651285749437073,0.12926598043625884,0.11809742540781583,-0.2852190493467092,0.039105987703278285,-0.12780029653247102,-0.09722331641068682,-0.07508416376101014,-0.30658960447377326,0.08455061727576035,-0.05047898941107108,0.33634888196866414,0.09073208693441338,0.20443977196678415,0.08917817638943368,0.31389782044868353,0.2703164169555862,0.19021595323292464,0.05387737102330185,0.2936203246556035,0.032636481626822755,0.2605734788667943,0.4081456649785111,0.3357262829481917,0.28552855615623796,-0.4753701519665983,-0.4176501334546414,-0.10649937006955185,0.31790418277448823,-0.2587415485066338,-0.039030960762184,-0.15624071344422444,-0.09437296240927479,0.1306712354013438,0.48899665422032945,-0.0292217060375317,0.03136491610641711,0.12052159616183021,0.07668480833630952,0.22258187930490517,0.634416430056694,-0.21469649668300633,0.19131635337062639,0.17264077439436062
Valence,0.40497120708789236,0.08522552504493057,0.21314576264281032,0.09503730481253088,-0.10399237567127792,0.040995163737475145,0.02542813002954874,0.0012434394259910975,0.5655133202021994,0.5083479062516407,-0.24330079054135179,-0.4664911097269639,-0.6033139222944714,-0.02874632173342513,-0.374149614087828,-0.03622430146963351,-0.3398483822722983,-0.1317868412028999,0.011009240084083207,-0.1534978677337758,-0.0594014171065219,0.027118755289906725,0.21404594801307367,0.17578034703330853,0.03458288254004152,0.5811752736922892,0.6542178385963712,0.6290952863821897,-0.1385212509690435,0.2165790049142829,0.5240160270582361,0.4437565908271013,-0.08328592037409902,-0.16704717879676548,0.2508496250212333,0.5368495824847695,-0.3050005070296512,-0.07787841061275169,0.02072233446557002,0.13167968689488097,-0.12115067679535668,-0.24108310263681262,-0.43347850769393936,-0.06163798669155851,-0.00237964857322075
