,The Rolling Stones,England’s Newest Hitmakers,England's Newest Hit Makers,12 x 5,12 X 5,The Rolling Stones No. 2,Now!,"The Rolling Stones, Now!",Out Of Our Heads (US Sequence),Out Of Our Heads,Out Of Our Heads (UK Sequence),Out Of Our Heads (UK),December’s Children (And Everybody’s),December's Children (and everybody's),Aftermath (UK Version),Aftermath,got LIVE if you want it!,Between The Buttons (US track listing),Between The Buttons,Between The Buttons (UK Version),Flowers,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),Their Satanic Majesties Request,Beggars Banquet (50th Anniversary Edition),Beggars Banquet,Let It Bleed,Let It Bleed (50th Anniversary Edition / Remastered 2019),Get Yer Ya-Ya's Out! (Remastered),Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),Get Yer Ya Yas Out,Sticky Fingers (Deluxe),Sticky Fingers (Remastered),Sticky Fingers (Super Deluxe),Jamming With Edward,Exile On Main Street (Bonus Track Version),Exile On Main Street (2010 Re-Mastered),Exile On Main Street (Deluxe Version),Goats Head Soup (Remastered 2009),Goats Head Soup,It's Only Rock 'N' Roll (2009 Re-Mastered),It's Only Rock 'N' Roll,Black And Blue (Remastered 2009),Black And Blue,Some Girls (Deluxe Version),Some Girls,Emotional Rescue (2009 Re-Mastered),Emotional Rescue,Tattoo You,Tattoo You (2009 Re-Mastered),Still Life,Undercover,Undercover (2009 Re-Mastered),Dirty Work,Dirty Work (Remastered 2009),Steel Wheels (Remastered 2009),Steel Wheels,Flashpoint,Voodoo Lounge (Remastered 2009),Stripped,Bridges To Babylon,Bridges To Babylon (Remastered),A Bigger Bang (2009 Re-Mastered),Blue & Lonesome,On Air (Deluxe),On Air,Honk (Deluxe),Goats Head Soup (Deluxe),Tattoo You (Super Deluxe)
Track number,-0.4062747515090941,-0.5850164026568613,-0.5740960734484417,-0.18776690404970267,-0.32088922521414703,-0.5381590638402172,-0.039746013078662025,0.21120812910570794,0.027734185533588345,0.05793133579219294,0.14848246989198982,0.25994589444461813,0.10854433776770768,0.1644436204822946,-0.27183396884519884,-0.6370967504286605,-0.5634828496598169,-0.6155717362272335,-0.2125617843964756,-0.39245866698801946,-0.28019918077781614,-0.19195936589515722,6.741404316556992e-18,-0.5012156617753936,-0.5607097709041838,-0.01412015092544626,-0.27602622373694163,-0.43140984302064245,-0.546105315094609,-0.475161989136085,-0.4885628753369514,-0.3812010711071959,-0.3551241539014496,-0.5978357663404154,0.02303269922226295,-0.42087417847856906,-0.06472244451283408,-0.18196541861969823,-0.13657501735901928,-0.4556245388229306,-0.4249455337708534,0.017092144290166242,0.009888396495626473,-0.2757409299672984,0.07817338727522676,0.3494679960592808,0.35751096290659706,-0.08638200989299875,-0.19070961648334644,0.02516961577946837,-0.6758570714891178,-0.6027656694354857,-0.6298170188510321,-0.5565771258887485,-0.04895439221371702,-0.17993839337329426,0.09499348401166248,-0.5627353807448083,-0.09793001562512406,-0.5318118607764303,-0.3692896660011729,-0.4300491099703194,-0.2999168345279312,-0.6911412741502213,-0.6874378745899375,-0.6522968912574123,-0.4115410027860133,-0.5932815498307815
Acousticness,0.24495566772828162,-0.3454285744164035,-0.2632228361921208,0.37011451607844054,0.2751715870070401,0.06325599018938388,-0.28488524029415263,-0.3783315088423883,-0.08390932100685618,0.009981324527635935,0.09859281865266978,-0.04028995585621693,0.45307146259543346,0.4273648573945864,0.007103327687495941,-0.1552934046785727,0.12254704813931354,0.6732732779456948,0.36790253653749405,-0.4672274913406198,0.21326012774348416,-0.41054135675835907,-0.3253264422836361,0.29306776769021026,0.2607219513322439,0.08491494360216384,0.051715000676035745,-0.005983575069543509,-0.21452901312705233,0.32325749408912596,0.2513607098114265,0.10266264681251118,0.24971897302062626,0.4254901307520284,0.11885870677220992,-0.25029285189895434,0.20753124569149467,-0.2895868067729824,0.10976415702929203,0.0628001213692587,-0.10222018054722155,0.6946601281167699,0.7539032322243856,0.21063385703193221,0.08801209224906231,0.3920077524675104,0.24113458583981867,0.09654137120280931,-0.2913872131303695,-0.4559634628792816,-0.5286124963923091,-0.4934745926366593,-0.3915163169854491,-0.31155496146183115,0.1587205672162432,0.41359485170838256,0.1465959014588952,0.14668325051345368,-0.12385693363446705,-0.2998507442701039,-0.20606459682944298,-0.16728076448499454,-0.2868864023806234,-0.024352876041329127,0.01955183376159232,0.04076728123499705,0.030382452608305754,-0.570105451395917
Danceability,-0.20248150219820185,0.1736931942839718,0.0003702325892425223,-0.15633578688567618,-0.18355350211375587,-0.16375736205713062,-0.36151924772259775,0.25423012036765086,0.2241141479824435,0.18243028208229953,-0.48324176322083884,0.004399329293582542,-0.12558343050912338,-0.2308332269185245,0.10256039906156063,-0.10641343044923972,-0.030161551732769746,-0.11408942713488468,0.045213662012945674,-0.7464671951709573,-0.09645468600682064,-0.16246160739977275,-0.010165280839882055,0.5061619583291128,0.5348335873115215,-0.054225711358967234,-0.08033364538401319,0.45067892371963775,0.1797309532183363,0.3481207923505442,0.2803593741531008,0.46922333104875136,0.5441788874530246,0.06358785070786205,0.27658189756675133,0.05816901183894115,0.304694130988359,-0.025831097516048607,-0.029474853026126218,0.5254763009258783,0.47581697446488946,-0.2827708581844511,-0.22307394678707176,0.39861816384685295,0.8446729028213504,0.5288696159989588,0.3784410326883002,0.35843505586006474,0.5675953770617995,0.3886146408036748,-0.0813769593967613,-0.07313418330388653,0.5242762692972301,0.6499958604919412,0.4785483995772316,0.5262503997978671,-0.027459912850842955,-0.08304182666450431,-0.21566640700547374,0.31266899435707735,0.48847728748515473,-0.022951189008606467,0.12450695778085023,0.2341363625007515,0.24047835857189642,0.3019734274311419,0.37293589910843217,0.5970114354879176
Energy,0.34786880880322496,0.27002754193618805,0.3962182025237031,0.37988183864324093,0.5321519177971428,0.23189388055330581,-0.2953101462129682,-0.467764653166342,0.32073534148125954,0.13711319042560943,-0.06613754061446923,-0.5196646983580335,-0.25881882420080005,-0.28276762311589326,-0.08672478080317626,0.08732516061505487,-0.31951563382271875,-0.0053039277128059704,0.07671042239928155,-0.7572810688296246,0.17504899305142838,-0.1592188070790506,0.2221246814198546,0.23493890884066157,0.22041375345658648,0.05488321099492078,-0.011592049128042417,0.0825991211912404,0.16048283334975944,-0.006957177551777318,-0.24907399253783274,0.24225387985598476,-0.29556740017163036,-0.4063798011215375,0.1300771521032758,0.3270080714559991,0.165770713412229,-0.20864691927034526,-0.15331501035893674,0.46924164395649,0.21962138069507772,-0.4330616818726177,-0.49005412507348356,-0.12722881368829542,-0.46209636820020356,-0.07363478275873221,-0.17747040993358956,-0.441579266556089,0.10497330900040563,0.7135349274201973,0.35327542079231605,0.32963868337552327,0.4153190240095156,0.2335040448433064,-0.11464757781875905,-0.17336505678193403,0.42638784943839647,-0.17375880438024835,0.09774978178325738,0.08645515299195239,0.07205608639466306,-0.5596869398165568,0.4544891375953194,-0.1185610948364461,0.036357550788829344,-0.1672615422568282,-0.429395139031763,-0.4178067093137019
Instrumentalness,-0.28985108445836816,0.24555831313314536,0.17665445613320102,-0.19089624863003718,-0.1685102689569493,-0.2203007124154974,-0.24425366659921535,-0.2596365284259672,-0.10074363997839346,-0.19802432442888052,-0.3614506067331067,-0.13085888102102522,-0.11720975478072265,-0.14880861500745637,-0.038642922659975085,0.020876047875358506,-0.15681652989495035,-0.16862668306938994,-0.061806154453915615,-0.059024429207119915,0.08513231214654335,-0.2136870413528466,-0.3105897924293321,-0.18830736379620291,-0.12865193724913382,0.032392892862556394,-0.09554565158981497,0.0641012058887616,0.41872740268235015,-0.11795405412419137,-0.17163910266554125,-0.4350830890281756,0.03002869074144306,0.0790852342656004,0.038964929901331914,-0.3148912445679763,0.14193810252220435,-0.8587048922055736,-0.4848351032304882,-0.012983415294201505,-0.28238282336047055,0.49449598742038375,0.23087820909932688,-0.12003485790633046,-0.5859148930385487,-0.3089477506027813,-0.20998258212079823,0.3128925098700916,0.07349831877468954,-0.3196155452372007,-0.4596590795924747,-0.4183738269152644,-0.2893516478743179,-0.2679696027863391,-0.38182050207838214,-0.3028158144842269,-0.10967853792221022,0.058542265848213385,-0.06926798147479894,-0.11644890064896884,-0.020860416039052376,0.28048466879153594,0.15030925815708715,0.024361260492503665,-0.05376140790806774,-0.04872170124485418,0.14470235769251838,-0.4481329223998961
Liveness,0.006668668656207435,-0.09138983643331433,0.16877659458280636,0.41157721503439915,0.28085182246442003,-0.449270229174288,-0.20898874246733565,-0.16549038924368514,-0.07954307362504268,-0.11720891466603546,0.06210612639643544,0.08933854044440459,-0.2693007773911277,-0.27440842233197815,-0.11324577437414039,0.1327806313101196,-0.11423549832046308,0.26360356090606973,0.09169820263424695,-0.20234845618122055,0.13472634590335542,0.15505009913563286,0.3934757355577875,-0.06688873666777444,-0.36751937341057794,0.05257765039225926,-0.24027693463119557,0.3578020080770069,0.43994771939526023,0.6707426457016227,-0.3964165009742769,-0.4549956766447621,-0.5424619676056176,-0.20830244625648625,0.1811903722582428,-0.12332595663722386,0.4711444386555388,-0.4747646418310994,-0.06049503487809664,-0.15924695538007388,-0.4486293231921608,-0.3321852010693163,-0.4111968120169006,0.017129083357287044,-0.27394642916630146,-0.5557746674179669,-0.5069488269157842,-0.14189778250980506,-0.0805151130706847,-0.2816322218028898,0.15540820886773377,-0.11605275960367467,0.14027578836487165,0.2202415356186761,0.1147305119047818,-0.3060892988915806,0.026092271583965095,-0.31189462005451246,0.10293769772386353,0.13986400851313951,0.22680346460598547,0.06050424435033483,0.16275410601381346,0.03574584432047271,0.33081875304253977,-0.2540415787155342,-0.5036519647606396,-0.7870140784440869
Loudness,-0.2602893853135136,-0.31677587386624795,-0.2501486353681613,0.2495502134302073,0.19461351622010253,0.5339573772432528,-0.19739489017282086,-0.2625984085153666,0.3304820280193818,0.3090727324744656,-0.416965780476855,-0.3692481363174553,-0.5334148040175528,-0.5474748896549693,0.0742111618245193,0.2723428455564273,-0.5708069175345707,0.029255583391454034,0.06048503281612909,-0.5514123814051375,0.22436606981273888,0.1414943295219842,0.4963971166762904,-0.08645121453327959,-0.19744213059119017,0.2897341134398399,0.31558787434302826,-0.07670700420414768,0.0004412177514098603,-0.22337442112308983,-0.22725786234930753,0.31325969431670675,-0.03129188867345374,0.21507282420233886,0.16228762353067566,0.3089647208457152,0.1842334291877771,-0.02756195996804332,-0.0016379664159624728,0.3451314467182959,0.411282151850875,-0.3849627813152305,-0.24591757398324116,0.04780265091225453,-0.6045334000275012,-0.025022745778505023,0.20371198688091913,-0.8908147682238171,0.1322774217315206,0.7499783651250337,0.011222135199515903,-0.030697308258346854,0.38985097887104153,0.22492127446859564,0.3729463830394189,0.3180825533650951,0.6799340557066608,0.11853249550922602,0.15665129027528038,0.3851496991962023,0.24595059111113476,-0.4459732340451013,0.1120840774022391,-0.26917134672466686,-0.18972688714555072,0.013521515545905895,-0.3034955093446465,0.7118050820301537
Speechiness,-0.051612082608212165,-0.11979823218220348,-0.015722405429831034,0.385438351643157,0.3888076044105447,0.4069202533339196,-0.12165361268026348,-0.09610385703535466,-0.10424395564777764,-0.15590928702770804,0.28195766619567914,0.0740360716941219,-0.21479377235997582,-0.13002956743168065,-0.027457797577485607,0.5822245098100012,0.01603154895589885,-0.26010524864519763,-0.09188029876368768,0.3440018563667501,0.153219750852314,-0.2817426086973993,-0.2997880974987653,0.8056791814961354,0.9092331210057016,0.05881160528245356,-0.13913286617501716,0.6159479991304219,-0.13278182198843433,0.5004852568689899,-0.2753435935622217,-0.19053655933142516,-0.3462931717565745,0.41521140165322157,0.272302895014747,0.23147195473072157,-0.10862485370176603,-0.059812258134214105,0.19922763061509682,0.2980908188281072,0.014737232733349908,-0.1269807976268635,-0.17759617543818187,-0.17792940282247954,-0.4506728899980455,-0.41101632774106994,0.046819358255325474,-0.3965946918686913,-0.45630932224464743,-0.6439182996652472,0.7633054199891827,0.5863610348708611,-0.05931194352206246,-0.2527424138009418,-0.46241454966235557,-0.44398208989372767,0.5059986594251717,-0.19646576917909597,0.2952821181228839,-0.17152969824523356,-0.15121814897620195,-0.32174235727808476,0.6448610305953345,-0.13381880901047202,0.17099162300669557,-0.22974425833219295,-0.013914263440766962,-0.44305237408074183
Tempo,0.14093432155283023,0.17718384204232202,0.2606704740252959,-0.047830837408074665,-0.057575785928972945,-0.009356179945603895,0.3844026645921282,-0.21074637029042842,0.07140918172484129,-0.013773969041473186,0.34912257548176323,-0.21681772087107487,0.0014415040645842573,0.40370514247795425,-0.06547550808694735,0.44455331972757306,-0.096383395356064,-0.2653923709923527,-0.18401805139085142,0.6751954936366257,0.1948132458938074,-0.03644234940114596,-0.16806198656735338,-0.028657043724899453,0.028613093519263947,-0.2879687298581048,0.0657284886301637,-0.1265464952288139,0.09077684577832808,-0.061488335653398576,0.4107521767321475,0.6308624772632067,0.05363259014265393,0.6578315677566716,0.01209626929256132,-0.09808146254082009,0.2008319218399647,0.3536592568149932,0.4280473186879832,-0.003982688517688933,0.14313314358787602,-0.5940539924657945,-0.6391572065920437,-0.2161936867417665,-0.3664652831606516,-0.20240864278929288,-0.03354882215701348,0.15897804657796671,-0.09269367151770973,0.4840606822068386,0.16162803964039507,-0.011699686549205484,0.09627065877767428,-0.19200192721324236,-0.5314956758864083,-0.5645338529739226,0.12146358604674193,-0.3029807014550844,0.1054478306857621,-0.2470368675507956,-0.2449438912244644,-0.47129295924083875,0.1950920390259092,0.04546370829081203,-0.09440432839794471,-0.25729925738148435,0.15836686704306682,-0.1543560726976777
Valence,0.32279860458555265,0.21480044999727657,0.01645048043781685,-0.021821722485861214,-0.0980769973007722,-0.22796946892289865,-0.42055508862885915,-0.35933494167701846,0.1042740834225645,-0.14934564018098348,-0.18122443384928508,-0.26708252507225794,-0.1294375750343434,-0.19490449110662708,-0.03997278282183145,-0.10831186649228068,-0.14239549568733406,-0.18899019490489033,-0.07738594327856459,-0.6816402122478937,-0.14289279420536505,0.22264435680958305,0.25855860406760867,0.1867219271737385,0.23646438939635575,-0.16989614794326802,-0.5398697631174894,0.025147654129687565,0.3910083259562612,-0.047216927664034354,-0.11345525267035181,0.2766339780267239,0.1485546491013397,-0.46115128686581086,0.05908588618240118,-0.02528817968357675,0.1241377192838788,-0.40211009751107507,-0.3081819945173879,0.20857181929284477,0.20346792823680643,-0.7656113190840546,-0.7243951266181176,0.29657914921799344,0.5009498779530532,0.4258974568730093,0.31229811527516776,0.0760539307315602,0.19325766202315356,0.44572246550877603,-0.7938649577092955,-0.8252938435592734,0.4201244815855916,0.4526409910677657,0.3143165221285711,0.14388824257109914,-0.036350944971279914,-0.4982679223993957,-0.2047336930595431,0.017271598989853615,0.05159946482842705,-0.7053184124116769,0.3301838519529995,-0.006161939803802945,-0.0941307210307361,0.12223318341156329,-0.1867506649199639,0.3986358312769221
