,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Concert Intro Music - Live,Licked Live In NYC,2022-06-10,1,2IEkywLJ4ykbhi1yRQvmsT,spotify:track:2IEkywLJ4ykbhi1yRQvmsT,0.0824,0.463,0.993,0.996,0.932,-12.913,0.11,118.001,0.0302,33,48640
1,Street Fighting Man - Live,Licked Live In NYC,2022-06-10,2,6GVgVJBKkGJoRfarYRvGTU,spotify:track:6GVgVJBKkGJoRfarYRvGTU,0.437,0.326,0.965,0.233,0.961,-4.803,0.0759,131.455,0.318,34,253173
2,Start Me Up - Live,Licked Live In NYC,2022-06-10,3,1Lu761pZ0dBTGpzxaQoZNW,spotify:track:1Lu761pZ0dBTGpzxaQoZNW,0.416,0.386,0.969,0.4,0.956,-4.936,0.115,130.066,0.313,34,263160
3,If You Can't Rock Me - Live,Licked Live In NYC,2022-06-10,4,1agTQzOTUnGNggyckEqiDH,spotify:track:1agTQzOTUnGNggyckEqiDH,0.567,0.369,0.985,0.000107,0.895,-5.535,0.193,132.994,0.147,32,305880
4,Don’t Stop - Live,Licked Live In NYC,2022-06-10,5,7piGJR8YndQBQWVXv6KtQw,spotify:track:7piGJR8YndQBQWVXv6KtQw,0.4,0.303,0.969,0.0559,0.966,-5.098,0.093,130.533,0.206,32,305106
5,Monkey Man - Live,Licked Live In NYC,2022-06-10,6,3ixZ1NQk5sqvBZgWeIdiqr,spotify:track:3ixZ1NQk5sqvBZgWeIdiqr,0.275,0.34,0.956,0.125,0.741,-5.539,0.0915,101.628,0.125,31,244293
6,Angie - Live,Licked Live In NYC,2022-06-10,7,3R1Vq1RS6mWNSD2oni6jNf,spotify:track:3R1Vq1RS6mWNSD2oni6jNf,0.561,0.262,0.81,2.76e-06,0.972,-6.851,0.0969,77.52,0.394,31,245506
7,Let It Bleed - Live,Licked Live In NYC,2022-06-10,8,0TGmW5dvuocb0QUMPsj31R,spotify:track:0TGmW5dvuocb0QUMPsj31R,0.317,0.413,0.971,0.000267,0.993,-5.509,0.0873,128.958,0.484,30,313586
8,Midnight Rambler - Live,Licked Live In NYC,2022-06-10,9,643LFQHx7UKat9u6UlwPBr,spotify:track:643LFQHx7UKat9u6UlwPBr,0.416,0.268,0.942,0.0408,0.959,-6.018,0.119,139.452,0.285,30,781173
9,Tumbling Dice - Live,Licked Live In NYC,2022-06-10,10,5NMRgeO81hNY5nEEY54XtK,spotify:track:5NMRgeO81hNY5nEEY54XtK,0.401,0.31,0.944,0.0752,0.974,-5.074,0.128,119.782,0.188,29,333413
