,InnerSpeaker,Lonerism,Live Versions,Currents,The Slow Rush
Track number,-0.765664962506315,-0.09875136384277794,-0.40476530416564893,-0.22087832850869712,0.131013944022344
Acousticness,-0.571311976257076,-0.13922700663188953,-0.14550909176857027,-0.4737978818350308,-0.08419200068703174
Danceability,0.177046880197257,0.11316938883286244,-0.04159701858004411,0.28238433666381885,0.4634373571135361
Energy,0.41689694015222395,-0.021677470125987884,-0.41820336460769636,0.2600447179568879,-0.10341041542474887
Instrumentalness,-0.44132571502251483,0.36524435224162294,-0.07286446813316229,-0.15923881711897295,-0.08240253272926908
Liveness,0.2921589469027619,-0.21666078763994837,-0.39209635866554554,-0.24498133185349347,-0.638279635095796
Loudness,0.7213366468851986,0.30411577945225204,-0.19772904171687264,0.4012460931116337,0.12433315324689151
Speechiness,-0.19422833832140765,-0.263884206278151,-0.614552376416614,0.025701129578306805,0.004340211133559875
Tempo,-0.23614569888302572,0.4813462731310588,-0.19513827172168957,-0.07568834514919018,-0.2911127289330369
Valence,0.7396055538316723,0.35752809626241294,-0.3177396112071226,0.35280624032834446,0.4554361236865946
Duration (ms),-0.46976593928893784,-0.26735094694471606,-0.5629034073389455,0.4372587107157869,0.05987211471030807
