,Taylor Swift,Live From Clear Channel Stripped 2008,Fearless Platinum Edition,Fearless,Speak Now World Tour Live,Speak Now (Deluxe Edition),Speak Now,Red (Deluxe Edition),Red,1989 (Deluxe Edition),1989,reputation Stadium Tour Surprise Song Playlist,reputation,Lover,folklore,folklore (deluxe version),folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],evermore,evermore (deluxe version),Fearless (Taylor's Version),Red (Taylor's Version),Midnights,Midnights (3am Edition),Midnights (The Til Dawn Edition),Speak Now (Taylor's Version),1989 (Taylor's Version),1989 (Taylor's Version) [Deluxe]
Track number,-0.398110439745546,-0.843057803917656,-0.12346445692670358,-0.6297491172249453,0.09226675460489868,-0.47308718378145764,-0.45044841937701763,-0.727716050775919,-0.21750210712927753,-0.4316299940414659,-0.6436303389806297,-0.3988858771288031,-0.5968575257587271,-0.44867589213843195,-0.6594499924741617,-0.6301961180038673,-0.3656324132146362,-0.7209529337736086,0.04059068225391932,-0.5289574967880878,-0.08327147660651743,-0.2973875006525056,0.4989477957356044,0.26676280278365344,-0.3448146634479671,0.16163440338077636,0.45874763993961126
Acousticness,0.04930928466829037,0.6195097701242019,-0.09341146992854048,-0.1200662224507933,0.33764712054876106,-0.007437544333890058,-0.2172336836719359,-0.4201229702404336,-0.17080171472242173,-0.7209917033061535,-0.4502729742400141,-0.14986694201194486,-0.22907884262545172,-0.4158631155495541,-0.35199146756986516,-0.26410148592519767,0.24781707001185502,0.27572983403958695,0.0776863713041451,-0.2985461524089328,-0.17699985709653218,-0.477130964755552,-0.20315336553768037,-0.09942936649531725,-0.4014223599352307,-0.1367152056788625,-0.133531685793699
Danceability,0.5384346689147838,0.6207329450593743,0.18437855514455198,0.1957451299204589,-0.3164990476609818,-0.1439740554862033,-0.05189449690411524,-0.32669547731894066,-0.20187189542466358,-0.20050008108244202,-0.015072462566685086,0.1018003731573764,0.24442621992071928,-0.2903644873770642,-0.021767102490579997,-0.1506665935470749,-0.0326347924648405,-0.6553159686726907,-0.2328715279103905,0.14764824284482572,-0.14624549731849007,0.2498855494557162,-0.11401764398995742,0.23574431939771714,-0.033481317642261435,0.2115014407759379,0.09336063474896318
Energy,0.018323058337429414,-0.3724278036730515,0.1793335122206887,0.24022927099215582,-0.16084526353936424,0.31021850250678246,0.2307891552299333,0.18473087125136647,0.06380766947256214,0.742923761238711,0.3443225436595317,-0.14107742657013506,0.1353207881478292,0.5600165403325835,0.3318742721340328,0.28633108471462604,-0.18252303747336,-0.3980861421991157,-0.06665165174886357,0.3720594164862882,0.2728081559174933,0.6875181552936295,0.5591158555730614,0.26675003178685186,0.15599864923487763,-0.03794175381684155,-0.12063853710510326
Instrumentalness,-0.04378079420081723,,0.5906282036346254,0.4180233483665303,0.14600900221611682,-0.029427891113219994,0.4472899890136878,-0.12515638056807327,-0.2978570802596822,0.20527661380574233,0.11320168286896698,0.003951593545474488,0.21836200445571546,0.07039563169303033,-0.04660560774611446,0.06290222148724574,0.24573498046194828,-0.15935912439677016,-0.11648767477462339,0.06379493599446925,0.013377325556304505,-0.2518106029512038,-0.377216192206276,-0.06745370544206812,0.017380280839130024,0.2658132854625497,0.13046325674645332
Liveness,0.2832703970750277,-0.33348107385215653,-0.3282835276618528,-0.10912649753191957,-0.09780746921075317,0.46167782686960745,0.3657149435835166,-0.16265389886073944,-0.07226551892843294,-0.6816577334891384,0.05771916063301368,0.02354503546581863,-0.3469181657484927,-0.2785001486809506,0.3884565865286174,0.12347483337348067,0.16743116993069782,-0.14241376011853846,-0.14331660790355227,-0.12900096732944466,-0.2002768146185413,0.2221775516035549,0.19051183168075161,0.24322903297070067,0.05898716283542452,-0.03675826963060004,-0.008319726698767058
Loudness,0.030649909191191954,-0.21469601688125625,0.18990959758840992,0.2389361782308212,-0.04800459023856844,0.15236430521800232,0.3384698569588655,0.2604760009576528,0.37332706938160726,0.8681925320496211,0.32990677015975023,-0.16709884841750253,0.24726279400694137,0.5607625196230804,0.6056438841219076,0.6793631874371292,0.11380210293940599,-0.18031304514762503,0.3164700793678127,0.33960865572094673,0.2766776080671681,0.6442263990164491,0.3849010875891793,0.3189079087532219,0.3870589403532761,-0.19403402948760332,-0.18460621733982543
Speechiness,-0.21307289539750135,-0.8507291571403218,0.03183689838245925,-0.08406143118977227,-0.09849502035360257,0.6595447488372155,-0.007882164047527996,0.14784423413161898,0.2559164637112009,-0.890984411939144,0.46801417740153894,0.23133137142212182,0.04208827165039574,-0.09388502936025628,-0.22418564147213155,-0.2068474004190202,-0.2293255968425412,-0.031176089549805486,-0.2092601749185866,0.04712775741939518,0.18757931802112723,-0.2134934809181315,-0.11937339525808262,-0.2618068589238044,-0.02632160845638026,-0.14331267085184365,0.00785442459044179
Tempo,-0.4464794657396178,-0.6582458742724869,0.052739802003234915,0.19252460036663835,0.11594306266601978,0.2740297448020054,0.12931184568548834,-0.35768258213822823,-0.6106905282429954,0.229315782336699,-0.03404112602107854,-0.0796896171606971,0.2165661644572596,0.056771376614808175,-0.1597611454793871,0.08798636841925421,-0.1906316090273994,-0.2254766494057008,0.051001758117794324,-0.03503051389578123,-0.07395101856972998,-0.2292420842858356,-0.0002520874487701789,-0.24269308424071,-0.09507847958947799,-0.475119400990452,-0.10196596770218429
Valence,0.44518954615864575,0.09020784916184571,0.010998883371145714,-0.034400086979640344,-0.24582801952655373,0.1445809600667933,0.21863495517638418,0.20077762942984909,0.3353255999861472,-0.008805952145572244,0.4797949699775083,-0.22447225116020253,-0.05053959101552641,0.19518762066940712,0.08499784882193803,0.02366216677498236,-0.2099823907362222,-0.33093826479400773,0.04200815613891851,0.2774099521669561,0.15366313386595243,0.4702705371353562,0.2522205567571503,-0.1558066621507197,0.05806620815884115,-0.20799414484804674,-0.40970319989230697
Duration (ms),-0.17744455559123412,-0.5042903638572421,-0.17357547630517609,-0.14670874684243926,0.07379398455494163,-0.16742393798319863,-0.10934709034758654,0.029881688253480584,-0.35220936728878016,0.7562452690384938,-0.1607207221042631,0.047001049631058354,0.13297538645190407,0.150196933721818,-0.036887215861932325,-0.2399371704283475,-0.0025174746709582334,-0.07372168294188812,-0.0065836128949033675,-0.07227292976838849,0.36615292277420886,-0.3050484151695282,0.18999526959278232,0.19303457992545914,0.11331944211816847,-0.23881491418980746,-0.2928265384791848
