,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,When I Was Tealby Abbey - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,1,4NdfWmWp4zLdDu4R7FXwF4,spotify:track:4NdfWmWp4zLdDu4R7FXwF4,0.0935,0.382,0.681,0.0,0.0862,-8.158,0.0493,164.119,0.768,39,156973
1,And The Clock Goes Round - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,2,4fJ0ZlPewR0Iq16TRiQXdi,spotify:track:4fJ0ZlPewR0Iq16TRiQXdi,0.0569,0.472,0.49,0.0,0.253,-9.655,0.0333,116.79,0.497,36,190560
2,Sitting Doing Nothing - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,3,0zp5gzdTMeDkujYnOHT1ET,spotify:track:0zp5gzdTMeDkujYnOHT1ET,0.0823,0.587,0.512,0.000138,0.0461,-10.739,0.0291,145.202,0.75,36,153706
3,Turn To Me - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,4,7eMlMmUB662ZjAyn1KEe7q,spotify:track:7eMlMmUB662ZjAyn1KEe7q,0.149,0.387,0.696,0.0618,0.223,-7.245,0.0398,159.782,0.65,34,199880
4,Angel Tree - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,5,3Lqv9H8RITKsmOxmL61Cfc,spotify:track:3Lqv9H8RITKsmOxmL61Cfc,0.0955,0.598,0.639,0.0,0.341,-8.824,0.0315,99.283,0.733,33,124080
5,Regimental Sgt. Zippo - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,6,0Uq2RWW0BUjTA10QbGFGje,spotify:track:0Uq2RWW0BUjTA10QbGFGje,0.0129,0.254,0.621,2.44e-06,0.612,-8.555,0.0316,154.01,0.482,36,286560
6,A Dandelion Dies In The Wind - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,7,72CqScWomjQ00G5QjqJv3E,spotify:track:72CqScWomjQ00G5QjqJv3E,0.278,0.29,0.492,0.0038,0.127,-10.279,0.032,165.677,0.346,32,195280
7,You'll Be Sorry To See Me Go - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,8,5C3toyIeUstrVc5gqmgVuW,spotify:track:5C3toyIeUstrVc5gqmgVuW,0.0612,0.794,0.818,3.48e-06,0.0911,-8.151,0.0361,132.202,0.965,31,155160
8,Nina - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,9,3xjhO7i96jCZUgscFmrSTF,spotify:track:3xjhO7i96jCZUgscFmrSTF,0.00404,0.336,0.745,0.000183,0.481,-8.201,0.0364,88.115,0.496,31,232466
9,Tartan Coloured Lady - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,10,2gSAWtfWiMUEP5dDpojwRq,spotify:track:2gSAWtfWiMUEP5dDpojwRq,0.615,0.414,0.444,0.0,0.151,-10.343,0.0286,73.11,0.509,30,251160
10,Hourglass - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,11,5YcJt3UqwEnfkob9oiiKkh,spotify:track:5YcJt3UqwEnfkob9oiiKkh,0.0317,0.382,0.537,4.79e-05,0.0873,-11.06,0.029,177.918,0.434,30,180040
11,Watching The Planes Go By - Stereo Mix,Regimental Sgt. Zippo,2022-07-08,12,6jcE3XjranCP5TUgWhaPjG,spotify:track:6jcE3XjranCP5TUgWhaPjG,0.211,0.263,0.526,5.25e-05,0.334,-8.484,0.0272,77.527,0.555,30,251560
12,Tiny Dancer - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,1,5pFFnDmAEzBnorhyKIZwer,spotify:track:5pFFnDmAEzBnorhyKIZwer,0.423,0.413,0.43,0.000171,0.125,-10.98,0.0275,145.373,0.233,36,375613
13,Levon - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,2,7j5MFzkTeepzmGLowja8U7,spotify:track:7j5MFzkTeepzmGLowja8U7,0.181,0.296,0.588,0.000146,0.379,-10.836,0.0465,143.813,0.43,35,320653
14,Razor Face - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,3,74Y1p72Ey9s8mKYGk5DQyH,spotify:track:74Y1p72Ey9s8mKYGk5DQyH,0.0678,0.395,0.627,0.000243,0.183,-10.415,0.0327,137.948,0.368,30,281520
15,Madman Across The Water - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,4,7eiSPaaI6y0InqeGlxFeJx,spotify:track:7eiSPaaI6y0InqeGlxFeJx,0.386,0.437,0.454,0.00176,0.0854,-11.276,0.0442,136.35,0.351,31,357013
16,Indian Sunset - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,5,4kyC5gOdHRbcEbu8o70obo,spotify:track:4kyC5gOdHRbcEbu8o70obo,0.74,0.404,0.279,2.24e-05,0.376,-13.588,0.0411,138.972,0.342,30,404306
17,Holiday Inn - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,6,1OU6HxvYFZqRwGxayD7SVn,spotify:track:1OU6HxvYFZqRwGxayD7SVn,0.18,0.51,0.72,0.02,0.12,-11.004,0.0288,152.354,0.636,28,255533
18,Rotten Peaches - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,7,5tsLeSJtbacvO30DuwuRgS,spotify:track:5tsLeSJtbacvO30DuwuRgS,0.225,0.334,0.642,1.47e-05,0.119,-10.451,0.041,144.701,0.613,28,295426
19,All The Nasties - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,8,5k0FT4ESWA7TM2Z70WSNFC,spotify:track:5k0FT4ESWA7TM2Z70WSNFC,0.641,0.355,0.467,0.00372,0.119,-13.856,0.0362,145.676,0.246,27,307506
20,Goodbye - Remastered 2016,Madman Across The Water (Deluxe Edition),2022-06-10,9,3eiL3jYBaqJ9iLJWLMLSwZ,spotify:track:3eiL3jYBaqJ9iLJWLMLSwZ,0.94,0.317,0.177,0.000297,0.125,-14.344,0.0321,71.914,0.277,27,106293
