,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Enter Sandman - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,1,3DwQ7AH3xGD9h65ezslm6q,spotify:track:3DwQ7AH3xGD9h65ezslm6q,0.0026,0.569,0.838,0.00836,0.0628,-8.421,0.0302,123.299,0.615,51,331560
1,Sad But True - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,2,5ltXoDLlI0rFZAmOXbAp5T,spotify:track:5ltXoDLlI0rFZAmOXbAp5T,0.000848,0.625,0.876,0.00198,0.0639,-5.998,0.035,89.233,0.46,46,324600
2,Holier Than Thou - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,3,3lkNCZqp4TcoUTLCFG2K8n,spotify:track:3lkNCZqp4TcoUTLCFG2K8n,0.00156,0.458,0.969,0.255,0.0841,-5.923,0.0412,172.096,0.348,42,227573
3,The Unforgiven - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,4,6pAIZfkNBQh4RAiOliPo4t,spotify:track:6pAIZfkNBQh4RAiOliPo4t,0.0179,0.526,0.579,0.00861,0.216,-9.489,0.0257,139.496,0.211,43,387160
4,Wherever I May Roam - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,5,78m5YarfdWeMtlVyMVC2Mm,spotify:track:78m5YarfdWeMtlVyMVC2Mm,0.000617,0.537,0.831,0.000571,0.117,-7.467,0.0364,131.384,0.351,46,404333
5,Don't Tread on Me - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,6,0G2jAIMadIhZSN74fmSV0R,spotify:track:0G2jAIMadIhZSN74fmSV0R,0.00772,0.656,0.881,0.00316,0.194,-6.446,0.0498,108.012,0.685,41,240160
6,Through the Never - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,7,5XdrV8cy2mpuVP0ukTYP38,spotify:track:5XdrV8cy2mpuVP0ukTYP38,0.0113,0.38,0.952,0.272,0.124,-5.954,0.0543,94.302,0.464,39,244533
7,Nothing Else Matters - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,8,6QAsrXPnMSXIbV0yEJHlEX,spotify:track:6QAsrXPnMSXIbV0yEJHlEX,0.0543,0.548,0.395,5.41e-06,0.0791,-9.794,0.0268,142.372,0.182,43,388733
8,Of Wolf and Man - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,9,4IK4lJsJxlvQAVqd36gyRu,spotify:track:4IK4lJsJxlvQAVqd36gyRu,0.00104,0.609,0.794,0.0409,0.0833,-6.864,0.0366,121.765,0.492,39,256573
9,The God That Failed - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021-09-10,10,5wAS8svvT4d27ZpiPvFA0Z,spotify:track:5wAS8svvT4d27ZpiPvFA0Z,0.000444,0.528,0.818,0.00011,0.172,-6.4,0.0382,83.0,0.462,39,308506
