,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Taxman - 2022 Mix,Revolver (Super Deluxe),2022-10-28,1,1u2yF3CsOvVOMP82AgP2gJ,spotify:track:1u2yF3CsOvVOMP82AgP2gJ,0.00225,0.484,0.771,0.0,0.718,-6.151,0.13,133.603,0.679,57,158266
1,Eleanor Rigby - 2022 Mix,Revolver (Super Deluxe),2022-10-28,2,1Oo6F5Dn1s8hrUDUQuoCqB,spotify:track:1Oo6F5Dn1s8hrUDUQuoCqB,0.853,0.606,0.304,0.0,0.34,-7.485,0.0414,137.891,0.808,62,126466
2,I'm Only Sleeping - 2022 Mix,Revolver (Super Deluxe),2022-10-28,3,7sNSyrCw3F7qnMpl938JUZ,spotify:track:7sNSyrCw3F7qnMpl938JUZ,0.0944,0.559,0.479,0.0,0.269,-7.89,0.0281,103.392,0.658,57,180320
3,Love You To - 2022 Mix,Revolver (Super Deluxe),2022-10-28,4,0NT88kD8fIXuwBOuXlPcmx,spotify:track:0NT88kD8fIXuwBOuXlPcmx,0.706,0.46,0.6,4.25e-05,0.063,-9.108,0.0472,124.21,0.679,54,179866
4,"Here, There And Everywhere - 2022 Mix",Revolver (Super Deluxe),2022-10-28,5,47gNXRKcBJxu6bOvmyUroI,spotify:track:47gNXRKcBJxu6bOvmyUroI,0.87,0.345,0.304,3.14e-05,0.116,-9.477,0.0297,164.568,0.425,55,144906
5,Yellow Submarine - 2022 Mix,Revolver (Super Deluxe),2022-10-28,6,2ClyE7EHo64kkl0HKwdL3i,spotify:track:2ClyE7EHo64kkl0HKwdL3i,0.391,0.623,0.573,0.0,0.118,-8.421,0.0317,111.374,0.794,54,158826
6,She Said She Said - 2022 Mix,Revolver (Super Deluxe),2022-10-28,7,7BPRbnF4rPWtanG6hpRSWT,spotify:track:7BPRbnF4rPWtanG6hpRSWT,0.0515,0.397,0.886,0.000157,0.47,-6.409,0.0518,106.066,0.785,55,156093
7,Good Day Sunshine - 2022 Mix,Revolver (Super Deluxe),2022-10-28,8,6MFGQhBwQIACyGGBtmbhC3,spotify:track:6MFGQhBwQIACyGGBtmbhC3,0.605,0.787,0.552,0.0,0.107,-7.15,0.0436,117.169,0.746,54,129213
8,And Your Bird Can Sing - 2022 Mix,Revolver (Super Deluxe),2022-10-28,9,4P3VPAvME1i9qVk0MIubTa,spotify:track:4P3VPAvME1i9qVk0MIubTa,0.00389,0.543,0.801,0.732,0.262,-5.589,0.0288,132.625,0.969,54,120533
9,For No One - 2022 Mix,Revolver (Super Deluxe),2022-10-28,10,6aVssog265SY3b7EuhLDPf,spotify:track:6aVssog265SY3b7EuhLDPf,0.808,0.433,0.535,0.0,0.136,-8.197,0.0289,81.896,0.751,54,119800
10,Doctor Robert - 2022 Mix,Revolver (Super Deluxe),2022-10-28,11,1umzslyJ3pAk8dfQSmopbf,spotify:track:1umzslyJ3pAk8dfQSmopbf,0.0531,0.41,0.718,0.398,0.132,-6.981,0.0482,164.542,0.562,53,134413
11,I Want To Tell You - 2022 Mix,Revolver (Super Deluxe),2022-10-28,12,6qBlZMIYjIe1VFMcMYqBaq,spotify:track:6qBlZMIYjIe1VFMcMYqBaq,0.0972,0.512,0.59,0.0,0.271,-8.351,0.0333,126.833,0.437,53,147813
12,Got To Get You Into My Life - 2022 Mix,Revolver (Super Deluxe),2022-10-28,13,6LlIY8CP2T59E7ER705yrx,spotify:track:6LlIY8CP2T59E7ER705yrx,0.221,0.526,0.629,7.92e-06,0.0742,-5.947,0.0309,136.555,0.645,53,149480
